repo,commit,url,time,cmd,summary,changed,missing,exts,langs,missing change?,reason
tauri-apps/tauri,88552d6,https://github.com/tauri-apps/tauri/commit/88552d66c3e79561eaf9c554a091e1d734238824,0.44,iccheck -r ./repos/tauri-apps/tauri --from 88552d6^ --to 88552d6,"1 chunks changed, 84 chunks missing change",https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L3579,"https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L3568, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L3224, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L2760, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L4765, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L3945, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L3257, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/Cargo.lock#L4031, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/webdriver/Cargo.lock#L413, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L5015, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L5004, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L3252, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/macos-sign/Cargo.lock#L568, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/macos-sign/Cargo.lock#L515, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L3241, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L4501, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/bench/Cargo.lock#L188, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/bench/Cargo.lock#L210, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/macos-sign/Cargo.lock#L616, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/macos-sign/Cargo.lock#L393, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/bench/Cargo.lock#L141, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L5460, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L2534, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L3871, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L6223, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L190, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/webdriver/Cargo.lock#L341, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L1486, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L3569, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L4249, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L2936, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L4058, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L169, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/cli/Cargo.lock#L4750, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L2903, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/tooling/webdriver/Cargo.lock#L457, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/workspace/Cargo.lock#L710, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/Cargo.lock#L2950, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/plugins/tauri-plugin-example/Cargo.lock#L2488, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L3228, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/plugins/tauri-plugin-example/Cargo.lock#L2477, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L3451, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/Cargo.lock#L2939, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L3232, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L3243, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L3462, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L3239, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/Cargo.lock#L3282, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/Cargo.lock#L2317, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L3330, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L3305, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L167, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L2530, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L2745, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L2542, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/Cargo.lock#L4040, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L3877, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L4593, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/plugins/tauri-plugin-example/Cargo.lock#L3369, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L4269, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L4272, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/plugins/tauri-plugin-example/Cargo.lock#L2227, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/Cargo.lock#L2676, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/plugins/tauri-plugin-example/Cargo.lock#L1461, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L2921, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L2928, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L4406, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L212, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L152, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L890, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L3117, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L4027, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/resources/src-tauri/Cargo.lock#L682, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/file-associations/src-tauri/Cargo.lock#L710, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/web/core/Cargo.lock#L782, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L3248, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L3237, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L2520, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L3591, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L4294, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L2932, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L4091, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L158, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L2899, https://github.com/tauri-apps/tauri/blob/88552d66c3e79561eaf9c554a091e1d734238824/examples/api/src-tauri/tauri-plugin-sample/Cargo.lock#L695",.lock,,x,auto generated
vim/vim,4100852,https://github.com/vim/vim/commit/4100852e099133a0c9603e1087e5dc6d82001ce7,5.8,iccheck -r ./repos/vim/vim --from 4100852^ --to 4100852,"1 chunks changed, 2 chunks missing change",https://github.com/vim/vim/blob/4100852e099133a0c9603e1087e5dc6d82001ce7/src/testdir/test_popup.vim#L1504,"https://github.com/vim/vim/blob/4100852e099133a0c9603e1087e5dc6d82001ce7/src/testdir/test_popup.vim#L1352, https://github.com/vim/vim/blob/4100852e099133a0c9603e1087e5dc6d82001ce7/src/testdir/test_popup.vim#L1323",.vim,Vim script,o,cloned but consistent
kubernetes/kubernetes,c75e30d0495,https://github.com/kubernetes/kubernetes/commit/c75e30d0495dc42a017bc1f4565831ce4d1c928a,4.84,iccheck -r ./repos/kubernetes/kubernetes --from c75e30d0495^ --to c75e30d0495,"1 chunks changed, 2 chunks missing change",https://github.com/kubernetes/kubernetes/blob/c75e30d0495dc42a017bc1f4565831ce4d1c928a/test/e2e/feature/feature.go#L254,"https://github.com/kubernetes/kubernetes/blob/c75e30d0495dc42a017bc1f4565831ce4d1c928a/test/e2e/feature/feature.go#L179, https://github.com/kubernetes/kubernetes/blob/c75e30d0495dc42a017bc1f4565831ce4d1c928a/test/e2e/feature/feature.go#L204",.go,Go,x,unrelated
junegunn/vim-plug,d977fa3,https://github.com/junegunn/vim-plug/commit/d977fa37866a48f1001b5adaadbbdbf88baf35e8,0.03,iccheck -r ./repos/junegunn/vim-plug --from d977fa3^ --to d977fa3,"2 chunks changed, 1 chunks missing change","https://github.com/junegunn/vim-plug/blob/d977fa37866a48f1001b5adaadbbdbf88baf35e8/README.md#L245-L246, https://github.com/junegunn/vim-plug/blob/d977fa37866a48f1001b5adaadbbdbf88baf35e8/doc/plug.txt#L193",https://github.com/junegunn/vim-plug/blob/d977fa37866a48f1001b5adaadbbdbf88baf35e8/plug.vim#L50-L51,".md, .txt, .vim",Vim script,o,cloned but consistent
exacity/deeplearningbook-chinese,4eb1fcd,https://github.com/exacity/deeplearningbook-chinese/commit/4eb1fcdf8b906690ee27e46fb8a9d28550ad5c0d,2,iccheck -r ./repos/exacity/deeplearningbook-chinese --from 4eb1fcd^ --to 4eb1fcd,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/4eb1fcdf8b906690ee27e46fb8a9d28550ad5c0d/Chapter12/applications.tex#L402,https://github.com/exacity/deeplearningbook-chinese/blob/4eb1fcdf8b906690ee27e46fb8a9d28550ad5c0d/docs/_posts/2016-12-12-Chapter12_applications.md#L408,".md, .tex",TeX,o,cloned but consistent
tensorflow/tensorflow,2b887468,https://github.com/tensorflow/tensorflow/commit/2b88746888bd1c577f29d11d22036570db723440,13.68,iccheck -r ./repos/tensorflow/tensorflow --from 2b887468^ --to 2b887468,"1 chunks changed, 4 chunks missing change",https://github.com/tensorflow/tensorflow/blob/2b88746888bd1c577f29d11d22036570db723440/third_party/xla/xla/service/spmd/shardy/test/round_trip_pipeline.mlir#L193,"https://github.com/tensorflow/tensorflow/blob/2b88746888bd1c577f29d11d22036570db723440/third_party/xla/xla/service/spmd/shardy/test/mhlo_import_pipeline.mlir#L110, https://github.com/tensorflow/tensorflow/blob/2b88746888bd1c577f29d11d22036570db723440/third_party/xla/xla/service/spmd/shardy/test/sdy_round_trip_import_pipeline.mlir#L87, https://github.com/tensorflow/tensorflow/blob/2b88746888bd1c577f29d11d22036570db723440/third_party/xla/xla/service/spmd/shardy/test/mhlo_import_pipeline.mlir#L80, https://github.com/tensorflow/tensorflow/blob/2b88746888bd1c577f29d11d22036570db723440/third_party/xla/xla/service/spmd/shardy/test/sdy_round_trip_import_pipeline.mlir#L57",.mlir,,o,"cloned, inconsistent"
exacity/deeplearningbook-chinese,a03e98d,https://github.com/exacity/deeplearningbook-chinese/commit/a03e98d2298528a13779f9fc4c8e7f8c1bd204f7,1.82,iccheck -r ./repos/exacity/deeplearningbook-chinese --from a03e98d^ --to a03e98d,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/a03e98d2298528a13779f9fc4c8e7f8c1bd204f7/Chapter10/sequence_modeling_rnn.tex#L1252,https://github.com/exacity/deeplearningbook-chinese/blob/a03e98d2298528a13779f9fc4c8e7f8c1bd204f7/docs/_posts/2016-12-10-Chapter10_sequence_modeling_rnn.md#L1251,".md, .tex",TeX,o,"cloned, inconsistent"
ChrisTitusTech/winutil,760fb3d,https://github.com/ChrisTitusTech/winutil/commit/760fb3d30aca4646eda9fecc1b89732a32bc0134,0.06,iccheck -r ./repos/ChrisTitusTech/winutil --from 760fb3d^ --to 760fb3d,"1 chunks changed, 1 chunks missing change",https://github.com/ChrisTitusTech/winutil/blob/760fb3d30aca4646eda9fecc1b89732a32bc0134/config/applications.json#L2469-L2470,https://github.com/ChrisTitusTech/winutil/blob/760fb3d30aca4646eda9fecc1b89732a32bc0134/winutil.ps1#L8414-L8415,".json, .ps1",PowerShell,o,"cloned, inconsistent"
gradle/gradle,4f52d0950d,https://github.com/gradle/gradle/commit/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f,4.46,iccheck -r ./repos/gradle/gradle --from 4f52d0950d^ --to 4f52d0950d,"2 chunks changed, 5 chunks missing change","https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/dom/mutation/MutationApplicabilityCheckerTest.kt#L32-L33, https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/dom/mutation/MutationAsTextRunnerTest.kt#L38-L39","https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/dom/mutation/ModelToDocumentMutationPlannerTest.kt#L37-L38, https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/dom/mutation/ModelMutationSubtypingTest.kt#L28-L29, https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/dom/mutation/ScopeLocationTest.kt#L34, https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/analysis/HiddenInDslTest.kt#L25-L26, https://github.com/gradle/gradle/blob/4f52d0950deb1d4f9f6e836cc9e5d7bc7ee0c84f/platforms/core-configuration/declarative-dsl-core/src/test/kotlin/org/gradle/internal/declarativedsl/objectGraph/AssignmentResolverTest.kt#L25",.kt,Kotlin,x,auto generated
AppFlowy-IO/AppFlowy,dc93a33,https://github.com/AppFlowy-IO/AppFlowy/commit/dc93a336d622710c7728caa6e640a7b74214b64b,3.65,iccheck -r ./repos/AppFlowy-IO/AppFlowy --from dc93a33^ --to dc93a33,"1 chunks changed, 1 chunks missing change",https://github.com/AppFlowy-IO/AppFlowy/blob/dc93a336d622710c7728caa6e640a7b74214b64b/frontend/resources/translations/ru-RU.json#L363-L364,https://github.com/AppFlowy-IO/AppFlowy/blob/dc93a336d622710c7728caa6e640a7b74214b64b/frontend/resources/translations/uk-UA.json#L225-L226,.json,,x,unrelated
exacity/deeplearningbook-chinese,db7517e,https://github.com/exacity/deeplearningbook-chinese/commit/db7517e7c929be866c35ffa7e02ce9b0432401a8,5.91,iccheck -r ./repos/exacity/deeplearningbook-chinese --from db7517e^ --to db7517e,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/db7517e7c929be866c35ffa7e02ce9b0432401a8/docs/_posts/2016-12-10-Chapter10_sequence_modeling_rnn.md#L557-L558,https://github.com/exacity/deeplearningbook-chinese/blob/db7517e7c929be866c35ffa7e02ce9b0432401a8/Chapter10/sequence_modeling_rnn.tex#L566-L567,".md, .tex",TeX,o,cloned but consistent
Solido/awesome-flutter,4314220,https://github.com/Solido/awesome-flutter/commit/43142201cfc27b66bea1bb62de928782219a26df,0.18,iccheck -r ./repos/Solido/awesome-flutter --from 4314220^ --to 4314220,"1 chunks changed, 1 chunks missing change",https://github.com/Solido/awesome-flutter/blob/43142201cfc27b66bea1bb62de928782219a26df/README.md#L332-L333,https://github.com/Solido/awesome-flutter/blob/43142201cfc27b66bea1bb62de928782219a26df/source.md#L332-L333,.md,,o,cloned but consistent
exacity/deeplearningbook-chinese,db7517e,https://github.com/exacity/deeplearningbook-chinese/commit/db7517e7c929be866c35ffa7e02ce9b0432401a8,5.91,iccheck -r ./repos/exacity/deeplearningbook-chinese --from db7517e^ --to db7517e,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/db7517e7c929be866c35ffa7e02ce9b0432401a8/docs/_posts/2016-12-12-Chapter12_applications.md#L187,https://github.com/exacity/deeplearningbook-chinese/blob/db7517e7c929be866c35ffa7e02ce9b0432401a8/Chapter12/applications.tex#L181,".md, .tex",TeX,o,cloned but consistent
microsoft/ML-For-Beginners,f2d23be,https://github.com/microsoft/ML-For-Beginners/commit/f2d23be5f80e98170bacfa87b6bb9f63bb95d411,0.78,iccheck -r ./repos/microsoft/ML-For-Beginners --from f2d23be^ --to f2d23be,"1 chunks changed, 6 chunks missing change",https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/6-NLP/2-Tasks/translations/assignment.es.md#L1-L11,"https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/6-NLP/1-Introduction-to-NLP/translations/assignment.es.md#L1-L11, https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/4-Classification/2-Classifiers-1/translations/assignment.es.md#L1-L11, https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/5-Clustering/1-Visualize/translations/assignment.es.md#L1-L11, https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/1-Introduction/4-techniques-of-ML/translations/assignment.es.md#L1-L11, https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/4-Classification/3-Classifiers-2/translations/assignment.es.md#L1-L11, https://github.com/microsoft/ML-For-Beginners/blob/f2d23be5f80e98170bacfa87b6bb9f63bb95d411/4-Classification/4-Applied/translations/assignment.es.md#L1-L11",.md,,x,unrelated
exacity/deeplearningbook-chinese,ad85aed,https://github.com/exacity/deeplearningbook-chinese/commit/ad85aed7518d9993068825c738ce6526c8de5d89,0.07,iccheck -r ./repos/exacity/deeplearningbook-chinese --from ad85aed^ --to ad85aed,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/ad85aed7518d9993068825c738ce6526c8de5d89/Chapter8/optimization_for_training_deep_models.tex#L1710,https://github.com/exacity/deeplearningbook-chinese/blob/ad85aed7518d9993068825c738ce6526c8de5d89/docs/_posts/2016-12-08-Chapter8_optimization_for_training_deep_models.md#L1712,".md, .tex",TeX,o,cloned but consistent
FelisCatus/SwitchyOmega,a0ebef2,https://github.com/FelisCatus/SwitchyOmega/commit/a0ebef29daf3e174843521a75645c53e78f3ed70,0.04,iccheck -r ./repos/FelisCatus/SwitchyOmega --from a0ebef2^ --to a0ebef2,"1 chunks changed, 23 chunks missing change",https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/fa/LC_MESSAGES/omega-web.po#L6-L7,"https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/it/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/cs/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/tr/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/fr/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/ja/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/si/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/sk/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/uk/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/pt/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/es/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/de/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/pl/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/lzh/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/ru/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/pt_BR/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/zh_TW/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/zh_CN/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/zh_Hant/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/nb_NO/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/es_AR/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/en_US/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/sl/LC_MESSAGES/omega-web.po#L6-L7, https://github.com/FelisCatus/SwitchyOmega/blob/a0ebef29daf3e174843521a75645c53e78f3ed70/omega-locales/is/LC_MESSAGES/omega-web.po#L6-L7",.po,,x,unrelated
